S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Waste Land,Infrastructures
1,1998,2241,3321,652,452,335,452,241
2,1999,2254,3456,633,486,321,486,242
3,2000,2145,3654,624,421,300,562,244
4,2001,2006,3124,686,436,300,521,215
5,2002,2458,3785,621,452,365,536,358
6,2003,2452,3458,666,412,324,596,441
7,2004,2136,3621,698,411,321,550,354
8,2005,2126,3287,642,400,299,574,348
9,2006,2110,3961,624,462,264,542,301
10,2007,2112,3124,612,483,285,516,321
11,2008,2169,3648,625,520,241,596,301
12,2009,2156,3569,655,521,265,593,298
13,2010,2781,3785,685,555,213,512,312
14,2011,2412,3256,652,569,200,532,385
15,2012,2541,3475,600,563,186,524,321
16,2013,2344,3325,659,523,125,526,326
17,2014,3324,3962,655,547,142,571,325
18,2015,3331,3214,621,596,186,526,351
19,2016,3058,3256,600,562,188,589,325
20,2017,3241,3303,584,523,189,512,334
21,2018,4510,3301,574,512,196,573,356
22,2019,2213,3000,521,546,210,569,398
23,2020,2345,2964,621,521,222,542,344
24,2021,2467,3452,600,553,253,563,368
25,2022,2489,3685,633,567,248,586,333
