S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Waste Land,Infrastructures
1,1998,5869,334,652,3301,335,435,5241
2,1999,5269,456,633,3321,321,426,6842
3,2000,4569,423,624,3301,300,412,1124
4,2001,5242,423,686,2985,300,521,3215
5,2002,5426,542,621,4125,365,648,6458
6,2003,5134,412,666,4856,324,621,9641
7,2004,53847,521,698,5216,321,598,9354
8,2005,5144,485,642,2264,299,523,6648
9,2006,5252,441,624,8425,264,426,3301
10,2007,5762,498,612,7851,285,333,3321
11,2008,5463,344,625,7425,241,664,3301
12,2009,5236,268,655,7334,265,521,2985
13,2010,5264,333,685,7456,213,536,4125
14,2011,5864,548,652,7123,200,654,4856
15,2012,5264,330,600,4235,186,445,5216
16,2013,5114,332,659,5426,125,578,2264
17,2014,4175,330,655,4125,142,456,8425
18,2015,3789,298,621,5216,186,536,7851
19,2016,4126,412,600,6485,188,521,7425
20,2017,5148,485,584,6241,189,521,7334
21,2018,5394,216,574,5998,196,628,7456
22,2019,4796,226,521,5234,210,632,5998
23,2020,4218,425,621,4268,222,696,5234
24,2021,4786,451,600,3332,253,695,4268
25,2022,5486,425,633,6648,248,652,3332
