S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Waste Land,Infrastructures
1,1998,521,330,664,921,335,641,152
2,1999,555,332,523,745,321,542,202
3,2000,569,330,426,425,300,664,368
4,2001,563,298,333,541,300,523,296
5,2002,523,412,599,632,365,426,125
6,2003,547,485,641,551,324,333,159
7,2004,596,216,524,645,321,599,525
8,2005,562,226,684,544,299,641,458
9,2006,523,425,524,526,264,524,456
10,2007,512,451,522,687,285,684,452
11,2008,546,186,513,612,241,524,412
12,2009,521,125,334,512,265,522,444
13,2010,553,142,456,524,213,513,456
14,2011,567,186,423,674,200,456,423
15,2012,335,188,423,741,186,598,485
16,2013,321,189,542,615,125,486,475
17,2014,300,196,412,542,142,516,443
18,2015,300,210,521,456,186,423,412
19,2016,365,222,485,547,188,485,439
20,2017,324,253,441,612,189,475,456
21,2018,321,248,498,454,196,443,499
22,2019,299,241,344,455,210,412,501
23,2020,264,265,268,656,222,439,522
24,2021,285,213,333,657,253,456,536
25,2022,241,200,548,658,248,499,510
