S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Waste Land
1,1998,63484,3764,456,34487,3558,789
2,1999,41283,8763,456,26348,8775,98
3,2000,34634,3456,234,73539,5476,487
4,2001,15274,2367,852,45490,8765,749
5,2002,61537,9876,464,35846,4358,343
6,2003,19372,5678,583,94870,9755,738
7,2004,83743,2345,464,77563,3679,983
8,2005,61356,9548,293,89307,7533,897
9,2006,66346,5474,867,92576,7643,363
10,2007,34788,7585,638,87260,8932,356
11,2008,65287,2437,977,23879,2873,965
12,2009,35629,5478,347,89347,8723,8733
13,2010,23285,6349,966,73290,2983,756
14,2011,53489,2570,356,90836,8735,897
15,2012,67349,4480,364,72368,9863,974
16,2013,43893,7963,977,62340,8925,432
17,2014,46832,3648,675,98277,8732,671
18,2015,32763,3537,464,87319,9650,756
19,2016,32674,8585,648,38094,7844,654
20,2017,35379,8657,973,87234,5603,875
21,2018,45649,2437,845,97320,9844,983
22,2019,62720,8956,247,92374,9874,873
23,2020,25673,4659,856,32893,2986,875
24,2021,27244,2437,634,92843,8937,874
25,2022,67372,6484,469,89342,1893,358
