S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Waste Land,Infrastructures
1,1998,87953,8724,873,28722,9308,874,5241
2,1999,79843,3987,837,84272,8734,879,6842
3,2000,49792,4874,334,93847,9254,874,1124
4,2001,73453,3874,985,59685,9827,832,3215
5,2002,89347,8745,256,89574,7632,872,6458
6,2003,95873,8734,746,48673,3873,769,9641
7,2004,87356,8346,764,96545,9387,704,9354
8,2005,98563,8756,364,45736,9857,847,6648
9,2006,39765,9865,875,87594,2664,837,3301
10,2007,58674,8945,623,95874,3475,874,3321
11,2008,87356,8745,985,97485,9736,837,3301
12,2009,89752,8374,634,37463,2897,263,2985
13,2010,98457,7344,732,78295,8723,985,4125
14,2011,87436,9384,378,87962,8974,265,4856
15,2012,90856,8975,743,34874,4873,734,5216
16,2013,83264,8753,336,98763,2879,793,2264
17,2014,83750,3875,374,98574,9875,764,8425
18,2015,87236,9834,354,87436,2875,876,7851
19,2016,47573,8753,598,98376,8725,783,7425
20,2017,97463,9873,876,87463,2874,874,7334
21,2018,45983,8734,746,83746,7286,985,7456
22,2019,98793,9733,958,83742,7984,587,5998
23,2020,74590,5879,856,98563,8745,439,5234
24,2021,78346,3794,387,47307,2483,728,4268
25,2022,87305,983,398,27944,9873,489,3332
