S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Waste Land
1,1998,98757,268,845,4343,98247,90347
2,1999,92873,178,957,5346,28753,82713
3,2000,62499,288,749,6253,72564,87343
4,2001,17368,928,478,4237,29874,97147
5,2002,73648,173,387,6536,27468,62389
6,2003,82645,748,958,4124,38746,65715
7,2004,16354,599,374,1735,27676,41257
8,2005,93841,856,298,1653,56794,16426
9,2006,51749,698,958,1749,28465,87231
10,2007,15345,794,288,7434,16479,16257
11,2008,15364,387,595,6256,20384,91724
12,2009,94789,284,975,1763,86175,14326
13,2010,15435,984,589,3654,63254,54267
14,2011,28388,738,640,7264,29834,61526
15,2012,37676,488,947,2534,19374,54137
16,2013,13763,384,487,4894,18938,87234
17,2014,27647,289,527,3878,84700,62378
18,2015,82647,947,524,1736,79670,64136
19,2016,94776,273,423,2657,79876,14324
20,2017,72465,347,534,4759,60576,82713
21,2018,72890,495,324,5989,75605,99763
22,2019,26348,485,413,4789,38574,38746
23,2020,72378,294,523,3874,34578,76213
24,2021,17364,394,413,2747,82454,93844
25,2022,28475,835,432,2746,98345,81747
