S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Waste Land
1,1998,78352,8734,873,98735,8734,782
2,1999,98754,7859,874,78323,8736,783
3,2000,89734,8756,738,93488,8794,984
4,2001,93754,8755,387,76453,9857,874
5,2002,75422,8726,783,47639,8734,398
6,2003,28746,9827,374,93476,8735,873
7,2004,79362,8754,374,87394,9386,873
8,2005,98472,2875,593,87395,8734,849
9,2006,29087,9873,389,80937,9874,938
10,2007,89754,6093,873,29847,9873,873
11,2008,92872,8975,374,98473,8937,987
12,2009,85370,8793,987,98437,8793,857
13,2010,89205,9874,986,98247,7384,947
14,2011,38957,3098,864,98347,9873,876
15,2012,87246,9387,948,28047,8936,659
16,2013,29853,9875,958,98475,7362,987
17,2014,29852,8974,374,20984,4872,765
18,2015,27498,2097,897,98345,8734,654
19,2016,89725,9845,985,92485,9836,985
20,2017,76756,9387,756,98407,8736,865
21,2018,28706,8975,984,98133,7362,875
22,2019,89487,8725,847,89136,2984,859
23,2020,92857,8763,740,73465,8273,769
24,2021,78945,8975,485,84371,9736,544
25,2022,73545,8097,948,84709,8736,765
