S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Waste Land,Infrastructures
1,1998,8747,98845,923,973,933,8735,252
2,1999,1653,65490,928,928,298,7632,302
3,2000,7823,27368,812,827,198,8263,368
4,2001,5237,76230,172,615,198,1622,396
5,2002,9862,92485,823,523,181,5243,399
6,2003,7623,19284,873,712,165,3545,299
7,2004,2436,92487,934,542,514,6234,325
8,2005,5674,98366,265,912,143,2763,358
9,2006,5638,54328,736,109,615,6354,399
10,2007,9837,82735,923,198,276,6253,352
11,2008,8758,34523,653,192,918,8749,312
12,2009,6849,54235,514,712,413,9586,344
13,2010,6348,65239,923,182,542,2653,356
14,2011,9823,28739,542,827,524,6098,323
15,2012,7153,91029,615,837,562,4952,385
16,2013,5237,82731,563,469,432,8347,275
17,2014,3236,92833,162,387,367,4238,243
18,2015,4312,28493,165,187,268,3048,312
19,2016,5423,64790,543,383,735,2439,339
20,2017,3127,58120,712,479,413,2746,356
21,2018,4243,28349,102,736,273,1542,499
22,2019,1563,49882,513,981,265,8731,301
23,2020,4238,49814,412,387,152,7236,422
24,2021,5243,42981,162,283,126,5139,536
25,2022,5423,38230,816,128,265,7548,510
