S.No,Year,Agriculture Land,Forest Land,Water Bodies,Industries,Protected & National Parks ,Waste Land
1,1998,9374,813,5134,138,265,9283
2,1999,8274,517,7253,725,274,3847
3,2000,5236,812,9283,918,397,3746
4,2001,5423,156,8172,182,408,2764
5,2002,7345,812,5432,198,945,5986
6,2003,2823,514,5413,423,934,5964
7,2004,6253,891,4132,625,635,8753
8,2005,8162,816,4132,817,735,8347
9,2006,2653,901,3253,514,365,3746
10,2007,7349,928,8173,413,736,9584
11,2008,9284,514,4312,413,286,3958
12,2009,9834,327,8457,322,265,5986
13,2010,4985,412,6537,243,744,6097
14,2011,9384,817,7647,145,746,6973
15,2012,6253,514,41234,173,265,6354
16,2013,1392,715,1833,143,283,5986
17,2014,7236,514,9274,896,857,3746
18,2015,5237,514,6253,986,958,3948
19,2016,6539,874,4132,847,635,4957
20,2017,9182,189,1324,958,395,4756
21,2018,6152,642,4132,465,593,3764
22,2019,9183,918,3213,837,597,5968
23,2020,5126,817,2313,835,508,2645
24,2021,9172,981,2634,635,274,9568
25,2022,5142,653,2538,754,625,5986
